Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
XRP-USD,0.56775695,2024/09/18,17:02 UTC,-0.01865524,0.5844612,0.5844612,0.56365925,975378240,,,,,,,
BTC=F,59950.0,2024/09/18,12:52 EDT,-155.0,60395.0,60840.0,59270.0,4949,,,,,,,
GSOL,329.0,2024/09/18,12:37 EDT,-10.049988,338.0,345.06,328.0,1559,,,,,,,
EETH,46.6,2024/09/18,13:02 EDT,-1.0400009,46.74,46.6,46.29,13036,,,,,,,
SETH,24.95,2024/09/18,12:35 EDT,0.5712013,24.95,25.01,24.88,17151,,,,,,,
BITI,7.926,2024/09/18,13:02 EDT,0.01600027,7.92,8.016,7.91,2981253,,,,,,,
IBIT,34.056,2024/09/18,13:03 EDT,-0.04399872,34.0876,34.11,33.66,8397927,,,,,,,
CONY,12.5,2024/09/18,13:03 EDT,0.05000019,12.37,12.5898,12.36,417521,,,,,,,
MAXI,21.6654,2024/09/18,12:55 EDT,-0.2968998,21.91,21.91,21.583,5046,,,,,,,
HODL,67.7054,2024/09/18,13:02 EDT,-0.104599,67.76,67.7856,67.15,77039,,,,,,,
BITW,26.64,2024/09/18,12:32 EDT,-0.5,27.43,27.43,26.64,3866,,,,,,,
SPLG,66.295,2024/09/18,13:03 EDT,0.06499481,66.3,66.31,66.0299,1796349,,,,,,,
QQQM,195.11,2024/09/18,13:03 EDT,0.21000671,195.34,195.4,193.96,1213660,,,,,,,
QQQ,474.08,2024/09/18,13:03 EDT,0.58999634,474.63,474.8299,471.25,10516870,,,,,,,
QLD,95.0759,2024/09/18,13:03 EDT,0.2158966,95.32,95.38,93.95,1097934,,,,,,,
TQQQ,66.75,2024/09/18,13:03 EDT,0.26000214,67.005,67.07,65.56,22603418,,,,,,,
SQQQ,8.255,2024/09/18,13:03 EDT,-0.024999619,8.225,8.41,8.21,60473325,,,,,,,
VFH,109.89,2024/09/18,12:57 EDT,-0.05999756,110.02,110.02,109.49,134399,,,,,,,
VTI,278.27,2024/09/18,13:03 EDT,0.22000122,278.37,278.4599,277.1707,873174,,,,,,,
VOO,518.055,2024/09/18,13:03 EDT,0.46496582,518.18,518.35,515.97,1837509,,,,,,,
VGT,566.3899,2024/09/18,13:02 EDT,0.7799072,567.24,567.47,562.3753,170586,,,,,,,
DAPP,10.925,2024/09/18,12:56 EDT,0.11499977,10.71,10.97,10.71,37291,,,,,,,
IYW,146.27,2024/09/18,13:03 EDT,0.16000366,146.58,146.59,145.28,219282,,,,,,,
XDNA,7.38,2023/11/30,11:51 EST,-0.119999886,7.53,7.55,7.38,4251,,,,,,,
ENTR,15.31,2024/08/28,16:00 EDT,-0.16,15.27,15.31,15.31,119,,,,,,,
MOON,10.33,2024/07/22,16:00 EDT,0.0,10.49,10.5095,10.33,46148,,,,,,,
FFTY,26.4208,2024/09/18,12:44 EDT,0.14749908,26.37,26.46,26.325,7015,,,,,,,
HAIL,27.31,2024/09/18,12:00 EDT,-0.21759987,27.57,27.57,27.31,590,,,,,,,
KARS,19.365,2024/09/18,11:19 EDT,-0.109001,19.51,19.57,19.365,3362,,,,,,,
IDRV,29.27,2024/09/18,12:56 EDT,-0.17059898,29.46,29.4945,29.16,24559,,,,,,,
DRIV,22.0,2024/09/18,13:01 EDT,-0.09000015,22.14,22.14,21.89,37117,,,,,,,
KRUZ,30.8,2024/09/18,12:56 EDT,0.025499344,30.85,30.8,30.66,2572,,,,,,,
NANC,36.4963,2024/09/18,12:57 EDT,-0.08370209,36.59,36.5291,36.3499,13267,,,,,,,
HDRO,4.71,2024/09/18,11:50 EDT,0.0,4.72,4.7499,4.68,9707,,,,,,,
HJEN,10.8,2024/07/22,16:00 EDT,0.0,11.04,11.04,10.8,8224,,,,,,,
WUGI,66.7807,2024/09/17,15:01 EDT,-0.144897,66.6855,66.86,66.53,491,,,,,,,
DFEN,33.44,2024/09/18,12:50 EDT,0.539997,33.05,33.44,32.79,74891,,,,,,,
UMMA,24.72,2024/09/18,12:45 EDT,-0.050001144,24.79,24.8284,24.6024,18138,,,,,,,
